sno,sna,sarea,ar,lat,lng,tot,bemp,act,00:00,00:10,00:20,00:30,00:40,00:50,01:00,01:50,02:00,02:10,02:20,02:30,02:40,02:50,03:00,03:10,03:20,03:30,03:40,03:50,04:00,04:10,04:20,04:30,04:40,04:50,05:00,05:10,05:20,05:30,05:40,05:50,06:00,06:10,06:20,06:30,06:40,06:50,07:00,07:10,07:20,07:40,07:50,08:00,08:10,08:20,08:30,08:40,08:50,09:00,09:10,09:20,09:30,09:40,09:50,10:00,10:10,10:20,10:30,10:40,10:50,11:00,11:10,11:20,11:30,11:40,11:50,12:00,12:10,12:20,12:30,12:40,13:00,13:10,13:20,13:30,13:40,13:50,14:00,14:10,14:20,14:30,14:40,14:50,15:00,15:10,15:20,15:30,15:40,15:50,16:00,16:10,16:20,16:30,16:40,16:50,17:00,17:10,17:20,17:30,17:40,17:50,18:00,18:10,18:20,18:30,18:50,19:00,19:10,19:20,19:30,19:40,19:50,20:00,20:10,20:20,20:30,20:40,20:50,21:00,21:10,21:20,21:30,21:40,21:50,22:00,22:10,22:20,22:30,22:40,22:50,23:00,23:10,23:20,23:30,23:40,23:50
501201001,YouBike2.0_捷運美麗島站(10號出口),新興區,中山一路168號前方,22.63213,120.30212,23,10,1,13,14,14,14,14,14,14,15,15,15,15,15,15,15,16,16,16,16,16,16,16,15,15,15,15,15,15,15,15,15,15,15,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,8,6,6,6,6,6,6,8,8,7,6,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,3,3,3,3,3,3,3,3,4,4,4,4,7,7,7,7,7,7,7,6,6,3,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,8,8,8,2,3,3,10,14,14,14,14,14,14,14
501201002,YouBike2.0_捷運美麗島站(2號出口),新興區,中山一路83號旁停車場前方,22.63035,120.30175,40,33,1,7,8,8,8,8,8,8,8,8,6,6,6,7,7,7,6,5,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,4,4,4,4,4,4,5,4,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,6,6,6,6,6,6,6,6,6,7,7,7,7,7,9,9,10,10,10,10,10,10,10,10,10,17,17,17,16,16,16,16,16,16,23,23,23,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,21,21,21,21,21,21,21
501201003,YouBike2.0_捷運美麗島站(5號出口),新興區,中正三路179號前方,22.63118,120.30310,23,17,1,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,7,7,7,7,7,8,8,8,8,8,8,8,10,10,10,10,10,10,10,10,10,10,10,10,10,10,3,3,2,2,2,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,6,6,6,6,6,6,6,5,5,5,5,5,5,5,5,5,5,5,6,6,6,8,8,8,8,8,8,8,8,8,8,8,8,8,8,6,6,6,6,6,6,6,6,6,6,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
501201004,YouBike2.0_七賢洛陽街口,新興區,七賢一路266號前方,22.63416,120.30945,15,6,1,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,8,8,8,8,8,8,8,7,7,7,7,6,6,6,5,5,5,6,5,5,5,5,2,2,2,2,2,2,2,2,7,7,7,7,7,9,8,7,7,7,6,5,5,5,5,5,5,5,5,5,5,5,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,7,7,7,7,7,7,3,0,2,2,2,2,2,15,14,14,14,14,14,14,14,14,14,14,14,14,14,14,11,11,11,11,6,6,6,6,6,6,6,6,6,6
501201005,YouBike2.0_中山七賢路口西南側,新興區,中山一路223號前方,22.63422,120.30209,19,11,1,8,8,6,6,6,6,6,5,5,5,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,4,4,4,4,4,0,0,1,1,1,1,1,4,4,4,4,4,4,4,4,4,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,9,9,9,10,8,8,8,8,9,9,9,9,9,9,9,9,9,6,6,6,6,6,6,6,6,6,6,6,6,9,9,5,2,0,0,0,0,0,0,0,0,0,0
501201006,YouBike2.0_中山八德路口西南側,新興區,中山一路279號前方,22.63565,120.30219,28,27,1,1,1,1,1,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,1,1,0,0,1,0,0,2,3,3,3,3,8,8,8,5,8,6,7,5,4,4,4,5,5,5,5,6,6,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,6,6,6,6,6,6,6,6,6,8,9,9,9,9,14,14,14,14,14,14,14,27,27,27,26,26,26,24,24,24,24,24,24,24,24,24,16,16,14,14,14,15,9,5,0,1,2,0,0,0,0,0,0,0,0,0,2
501201007,YouBike2.0_新興高中,新興區,五福二路/文衡一路口東北側,22.62399,120.30346,19,9,1,10,10,10,10,10,11,11,9,9,9,9,9,9,9,9,8,8,7,6,6,6,6,6,6,6,6,6,6,6,6,8,8,8,8,8,8,8,9,9,11,11,11,11,11,17,17,14,14,14,14,14,14,8,7,6,5,3,4,5,5,3,3,3,3,3,3,3,3,3,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,0,0,0,0,1,1,0,0,0,0,0,1,1,1,4,4,4,4,4,4,4,4,15,15,14,14,8,9,9,9,6,6,6,6,6,5,5,5,5,5,4,4,6,7,7,7
501201008,YouBike2.0_新興公園西南側,新興區,興邦路與開封街口東北側,22.63601,120.31219,25,8,1,17,18,18,18,19,19,19,19,19,19,19,19,19,19,19,19,20,20,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,9,9,9,9,9,9,9,9,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,6,6,6,6,6,6,6,6,4,4,4,4,4,4,4,4,4,4,4,7,6,6,6,6,6,6,6,7,7,8
501201009,YouBike2.0_中正和平路口西北側,新興區,中正二路162號前方,22.63041,120.31771,20,19,1,0,0,0,0,1,2,2,3,3,3,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,2,2,2,2,1,1,1,1,1,1,1,1,6,4,4,1,1,3,2,2,2,2,4,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,1,1,2,2,2,2,2,0,0,1,3,0,1,1,1,1,1,1,1,0,0,0,0,0,1,3,3,3,5,5,5,5,4,4,3,3,3,2,2,2,3,2,2,3,2
501201010,YouBike2.0_六合錦田路口,新興區,六合一路44號對側,22.63235,120.31097,10,10,1,0,0,0,0,0,0,0,0,0,0,0,3,3,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,0,0,0,0,1,1,1,1,1,1,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,2,2,2,7,7,7,7,7,7,7,7,7,7,7,7,7,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2
501201011,YouBike2.0_捷運信義國小站(5號出口),新興區,中正三路2號前方,22.63073,120.31292,22,20,1,2,2,2,2,2,3,3,2,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,5,4,4,4,4,4,0,0,2,2,2,2,2,8,8,7,9,6,4,4,4,5,5,6,6,6,6,6,6,6,11,10,10,10,10,10,10,10,10,10,8,8,9,9,9,10,10,10,9,9,9,6,6,6,6,7,7,7,7,7,9,9,9,9,13,13,13,7,7,7,7,6,5,5,5,5,5,5,0,1,1,1,0,0,1,4,4,4,1,1,1,1,4,4,4,4,4,4,4,4,4,4
501201012,YouBike2.0_高雄市財稅行政大樓,新興區,中正三路25號前方,22.63069,120.30977,18,7,1,11,11,11,11,11,11,11,11,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,8,8,7,7,7,7,7,7,7,7,1,0,0,1,1,1,1,1,1,1,3,3,3,2,1,2,2,1,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,14,13,13,13,13,13,14,14,14,15,15,15,13,15,15,15,15,17,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,6,2,2,2,4,4,4,4,4,4,4,4,4,4,5,5,5,3,3,3,1,1,1,1
501201013,YouBike2.0_復興民權街口,新興區,復興民權街口東北側,22.62418,120.30883,22,13,1,9,8,8,9,9,9,9,8,8,8,8,8,8,8,8,8,8,8,8,8,9,9,9,9,9,9,8,7,7,7,7,7,7,7,7,5,4,4,4,4,0,1,1,3,3,3,3,3,3,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,12,12,12,12,12,10,10,4,4,4,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,3,3,3,3,3,3,3,3,3,3,3,3,4,5,3,3,3,3,2,2,3
501201014,YouBike2.0_忠孝公園,新興區,忠孝一路/民生一路口東南側,22.62717,120.30575,19,8,1,11,13,13,12,12,12,12,12,12,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,14,14,14,14,14,13,13,13,13,13,12,12,12,12,12,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,12,12,12,12,12,12,12,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,6,6,6,6,6,6,6,6,7,7,6,6,6,6,6,6,6,6,6,6,6,6,12,12,12,12,12,12,12,10,10,10,10,10,10,10,10,10,10,8,8,8,7,7,7,7,7,7,7,5,5,6,6
501201015,YouBike2.0_捷運中央公園站(2號出口),新興區,捷運中央公園站2號出口後方,22.62389,120.30124,25,4,1,21,21,21,21,21,20,20,19,19,20,20,20,20,20,20,19,19,19,19,19,19,19,19,19,19,19,20,20,20,20,20,20,20,20,21,21,21,24,23,24,25,24,15,6,2,1,0,1,0,0,0,0,1,0,0,0,1,2,2,2,2,2,2,1,2,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2,2,2,3,3,4,4,4,4,5,2,4,9,9,9,9,9,9,9,5,5,5,5,3,0,1,1,0,0,1,4,4,4,4,4,9,7,7,10,11,12,11,10,10,10,19,18,16,16,13,13,14,13,14,14
501201016,YouBike2.0_捷運中央公園站(3號出口),新興區,中山一路/民生二路口東南側,22.62684,120.30152,25,19,1,6,5,5,6,6,6,6,6,6,7,7,7,7,7,7,7,8,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,6,6,6,6,6,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,9,9,9,9,8,8,8,8,8,8,8,8,8,8,8,3,3,3,3,3,3,7,7,7,9,7,7,7,8,8,8,8,10,10,10
501201017,YouBike2.0_捷運美麗島站(9號出口),新興區,中山一路153號,22.63252,120.30203,27,22,1,5,5,5,0,0,0,0,0,0,0,0,0,12,11,11,11,11,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,13,13,13,13,13,17,15,15,15,15,15,15,15,14,14,14,9,9,9,7,7,8,8,7,8,8,9,9,6,2,2,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,5,5,2,2,2,2,2,8,8,8,8,8,8,10,10,10,10,10,11,11,5,0,0,1,7,8,7,7,7,17,17,19,21,21,21,21,23,23,24,24,27,27,25,25,25,19,17,17,17,14,14,13,13,12,11,10
501201018,YouBike2.0_捷運信義國小站(1號出口),新興區,中正三路/錦田路(西北側),22.630946,120.309886,24,21,1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,10,10,10,9,9,9,9,9,9,9,9,9,9,9,9,9,3,4,4,4,4,4,4,4,4,2,2,2,2,2,2,2,2,3,3,3,3,2,2,2,1,1,1,1,1,1,2,3,3,3,3,3,3,7,7,5,3,3,3,3,3,5,5,5,6,6,6,6,6,6,6,6,6,6,6,6,9,9,9,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,12,13
